"matchNo","Date","Time","Team1","Team2","Score1","Score2","Season"
1,"02.11.2000","20:00","Al-Ettifaq","Al Riyadh",1,0,"2000-2001"
2,"02.11.2000","20:00","Al Najma","Al-Nassr",0,1,"2000-2001"
3,"03.11.2000","20:00","Al Ahli SC","Al Ansar",3,0,"2000-2001"
4,"07.11.2000","20:00","Al Qadisiya","Sdoos",0,3,"2000-2001"
5,"08.11.2000","20:00","Al Wehda","Al-Shabab",1,0,"2000-2001"
6,"08.11.2000","20:00","Al Najma","Al Ahli SC",0,1,"2000-2001"
7,"12.11.2000","20:00","Al-Ittihad FC","Sdoos",1,0,"2000-2001"
8,"12.11.2000","20:00","Al Riyadh","Al-Shabab",1,0,"2000-2001"
9,"15.11.2000","20:00","Al-Ettifaq","Al Ahli SC",2,2,"2000-2001"
10,"15.11.2000","20:00","Al Ansar","Al Najma",3,3,"2000-2001"
11,"16.11.2000","20:00","Al Qadisiya","Al Wehda",2,2,"2000-2001"
12,"19.11.2000","20:00","Al-Ittihad FC","Al Ansar",3,1,"2000-2001"
13,"22.11.2000","20:00","Al Wehda","Sdoos",1,0,"2000-2001"
14,"22.11.2000","20:00","Al Riyadh","Al Qadisiya",2,1,"2000-2001"
15,"22.11.2000","20:00","Al Najma","Al-Ittihad FC",0,4,"2000-2001"
16,"22.11.2000","20:00","Al Ansar","Al-Ettifaq",2,0,"2000-2001"
17,"26.11.2000","20:00","Al Riyadh","Sdoos",0,1,"2000-2001"
18,"27.11.2000","20:00","Al-Hilal","Al Ansar",0,0,"2000-2001"
19,"27.11.2000","20:00","Al-Ettifaq","Al Najma",4,0,"2000-2001"
20,"27.11.2000","20:00","Al Wehda","Al-Ittihad FC",3,4,"2000-2001"
21,"28.11.2000","20:00","Al-Shabab","Al Ahli SC",0,0,"2000-2001"
22,"28.11.2000","20:00","Al Qadisiya","Al-Nassr",1,3,"2000-2001"
23,"01.12.2000","20:00","Al-Nassr","Sdoos",3,0,"2000-2001"
24,"01.12.2000","20:00","Al-Ettifaq","Al-Ittihad FC",2,0,"2000-2001"
25,"01.12.2000","20:00","Al Wehda","Al Riyadh",1,0,"2000-2001"
26,"01.12.2000","20:00","Al Ahli SC","Al Qadisiya",3,1,"2000-2001"
27,"02.12.2000","20:00","Al-Shabab","Al Ansar",3,2,"2000-2001"
28,"04.12.2000","20:00","Al-Nassr","Al Wehda",0,0,"2000-2001"
29,"05.12.2000","20:00","Sdoos","Al Ahli SC",1,1,"2000-2001"
30,"06.12.2000","20:00","Al-Ittihad FC","Al Riyadh",0,0,"2000-2001"
31,"06.12.2000","20:00","Al Ansar","Al Qadisiya",1,0,"2000-2001"
32,"07.12.2000","20:00","Al-Shabab","Al Najma",1,0,"2000-2001"
33,"09.12.2000","20:00","Sdoos","Al Ansar",1,2,"2000-2001"
34,"09.12.2000","20:00","Al Ahli SC","Al Wehda",3,0,"2000-2001"
35,"10.12.2000","20:00","Al-Nassr","Al Riyadh",0,1,"2000-2001"
36,"10.12.2000","20:00","Al-Ettifaq","Al-Shabab",1,1,"2000-2001"
37,"11.12.2000","20:00","Al Qadisiya","Al Najma",1,1,"2000-2001"
38,"13.12.2000","20:00","Al Riyadh","Al Ahli SC",1,1,"2000-2001"
39,"14.12.2000","20:00","Sdoos","Al Najma",0,0,"2000-2001"
40,"14.12.2000","20:00","Al-Ittihad FC","Al-Nassr",2,1,"2000-2001"
41,"14.12.2000","20:00","Al-Ettifaq","Al Qadisiya",4,2,"2000-2001"
42,"14.12.2000","20:00","Al Wehda","Al Ansar",2,3,"2000-2001"
43,"15.12.2000","20:00","Al-Hilal","Al-Shabab",2,1,"2000-2001"
44,"30.12.2000","20:00","Al-Shabab","Al-Ittihad FC",2,3,"2000-2001"
45,"30.12.2000","20:00","Al-Ettifaq","Sdoos",1,1,"2000-2001"
46,"31.12.2000","20:00","Al-Nassr","Al Ahli SC",0,0,"2000-2001"
47,"31.12.2000","20:00","Al Qadisiya","Al-Hilal",0,0,"2000-2001"
48,"31.12.2000","20:00","Al Najma","Al Wehda",0,2,"2000-2001"
49,"31.12.2000","20:00","Al Ansar","Al Riyadh",0,0,"2000-2001"
