matchNo,Date,Time,Team1,Team2,Score1,Score2
1,27.05.2024,21:00,Al-Taawon,Al-Ettifaq,1,0
2,27.05.2024,21:00,Al-Hazem,Abha,2,1
3,27.05.2024,21:00,Al-Nassr,Al-Ittihad FC,4,2
4,27.05.2024,21:00,Al-Shabab,Al-Fateh,3,2
5,27.05.2024,21:00,Al Taee,Al-Okhdood,0,2
6,27.05.2024,21:00,Al Khaleej,Al Riyadh,1,2
7,27.05.2024,21:00,Damk,Al-Raed,1,1
8,27.05.2024,21:00,Al Wehda,Al-Hilal,1,2
9,27.05.2024,21:00,Al Ahli SC,Al Feiha,1,0
10,23.05.2024,21:00,Al-Ettifaq,Al-Shabab,1,0
11,23.05.2024,21:00,Al-Raed,Al Ahli SC,0,0
12,23.05.2024,21:00,Al-Ittihad FC,Damk,4,1
13,23.05.2024,21:00,Abha,Al Khaleej,2,1
14,23.05.2024,21:00,Al-Okhdood,Al Wehda,1,1
15,23.05.2024,21:00,Al Feiha,Al-Taawon,1,1
16,23.05.2024,21:00,Al-Fateh,Al-Hazem,2,1
17,23.05.2024,21:00,Al Riyadh,Al-Nassr,2,2
18,23.05.2024,21:00,Al-Hilal,Al Taee,3,1
19,18.05.2024,21:00,Al Ahli SC,Abha,5,1
20,18.05.2024,19:20,Al-Hazem,Al Riyadh,1,1
21,18.05.2024,19:20,Al-Taawon,Al-Shabab,1,0
22,17.05.2024,21:00,Al-Ettifaq,Al-Okhdood,1,1
23,17.05.2024,21:00,Al-Nassr,Al-Hilal,1,1
24,17.05.2024,19:15,Damk,Al Feiha,1,1
25,16.05.2024,21:00,Al Wehda,Al-Raed,0,1
26,16.05.2024,21:00,Al Khaleej,Al-Ittihad FC,1,1
27,16.05.2024,18:00,Al Taee,Al-Fateh,3,1
28,11.05.2024,21:00,Al-Shabab,Al Ahli SC,1,2
29,11.05.2024,18:00,Al-Raed,Al Taee,1,1
30,11.05.2024,18:00,Al-Hilal,Al-Hazem,4,1
31,10.05.2024,21:00,Al-Ittihad FC,Al-Ettifaq,0,5
32,10.05.2024,21:00,Al Khaleej,Al Wehda,1,2
33,10.05.2024,18:00,Abha,Damk,0,0
34,09.05.2024,21:00,Al-Okhdood,Al-Nassr,2,3
35,09.05.2024,18:00,Al Riyadh,Al-Taawon,0,0
36,09.05.2024,18:00,Al Feiha,Al-Fateh,2,2
37,06.05.2024,21:00,Al Ahli SC,Al-Hilal,1,2
38,04.05.2024,21:00,Al-Nassr,Al Wehda,6,0
39,04.05.2024,18:00,Al-Shabab,Al-Raed,2,0
40,04.05.2024,18:00,Al Taee,Al Khaleej,0,0
41,03.05.2024,21:00,Al-Ettifaq,Al Feiha,1,2
42,03.05.2024,21:00,Abha,Al-Ittihad FC,3,1
43,03.05.2024,18:00,Al-Taawon,Al-Hilal,0,3
44,02.05.2024,21:00,Al-Fateh,Al Riyadh,2,2
45,02.05.2024,21:00,Al Ahli SC,Damk,4,1
46,02.05.2024,18:00,Al-Hazem,Al-Okhdood,0,0
47,27.04.2024,21:00,Al Khaleej,Al-Nassr,0,1
48,27.04.2024,18:00,Al-Okhdood,Abha,4,0
49,27.04.2024,18:00,Al-Raed,Al-Ettifaq,2,2
50,26.04.2024,21:00,Al-Ittihad FC,Al-Shabab,1,3
51,26.04.2024,18:00,Damk,Al-Taawon,0,1
52,26.04.2024,18:00,Al-Hilal,Al-Fateh,3,1
53,25.04.2024,21:00,Al Wehda,Al-Hazem,0,2
54,25.04.2024,21:00,Al Riyadh,Al Ahli SC,2,1
55,25.04.2024,18:00,Al Feiha,Al Taee,1,0
56,20.04.2024,21:00,Al-Hazem,Al-Ittihad FC,2,3
